Date,Series,Value
2011-04-02,MSNBC,0
2011-04-03,MSNBC,0
2011-04-04,MSNBC,0
2011-04-05,MSNBC,0
2011-04-06,MSNBC,0
2011-04-07,MSNBC,0
2011-04-08,MSNBC,0
2011-04-09,MSNBC,0
2011-04-10,MSNBC,0
2011-04-11,MSNBC,0
2011-04-12,MSNBC,0.0910
2011-04-13,MSNBC,0.0224
2011-04-14,MSNBC,0.1370
2011-04-15,MSNBC,0.0688
2011-04-16,MSNBC,0
2011-04-17,MSNBC,0
2011-04-18,MSNBC,0
2011-04-19,MSNBC,0
2011-04-20,MSNBC,0.0222
2011-04-21,MSNBC,0
2011-04-22,MSNBC,0
2011-04-23,MSNBC,0
2011-04-24,MSNBC,0
2011-04-25,MSNBC,0
2011-04-26,MSNBC,0
2011-04-27,MSNBC,0
2011-04-28,MSNBC,0
2011-04-29,MSNBC,0
2011-04-30,MSNBC,0.1124
2011-05-01,MSNBC,0
2011-05-02,MSNBC,0
2011-05-03,MSNBC,0
2011-05-04,MSNBC,0
2011-05-05,MSNBC,0
2011-05-06,MSNBC,0
2011-05-07,MSNBC,0.1315
2011-05-08,MSNBC,0.0876
2011-05-09,MSNBC,0
2011-05-10,MSNBC,0
2011-05-11,MSNBC,0
2011-05-12,MSNBC,0
2011-05-13,MSNBC,0
2011-05-14,MSNBC,0.1364
2011-05-15,MSNBC,0
2011-05-16,MSNBC,0
2011-05-17,MSNBC,0
2011-05-18,MSNBC,0
2011-05-19,MSNBC,0
2011-05-20,MSNBC,0
2011-05-21,MSNBC,0
2011-05-22,MSNBC,0
2011-05-23,MSNBC,0
2011-05-24,MSNBC,0
2011-05-25,MSNBC,0
2011-05-26,MSNBC,0
2011-05-27,MSNBC,0
2011-05-28,MSNBC,0
2011-05-29,MSNBC,0
2011-05-30,MSNBC,0.0591
2011-05-31,MSNBC,0
2011-06-01,MSNBC,0
2011-06-02,MSNBC,0
2011-06-03,MSNBC,0
2011-06-04,MSNBC,0
2011-06-05,MSNBC,0.0388
2011-06-06,MSNBC,0.0681
2011-06-07,MSNBC,0
2011-06-08,MSNBC,0
2011-06-09,MSNBC,0
2011-06-10,MSNBC,0
2011-06-11,MSNBC,0
2011-06-12,MSNBC,0
2011-06-13,MSNBC,0
2011-06-14,MSNBC,0
2011-06-15,MSNBC,0
2011-06-16,MSNBC,0
2011-06-17,MSNBC,0
2011-06-18,MSNBC,0
2011-06-19,MSNBC,0
2011-06-20,MSNBC,0
2011-06-21,MSNBC,0
2011-06-22,MSNBC,0
2011-06-23,MSNBC,0.0225
2011-06-24,MSNBC,0
2011-06-25,MSNBC,0
2011-06-26,MSNBC,0
2011-06-27,MSNBC,0
2011-06-28,MSNBC,0
2011-06-29,MSNBC,0
2011-06-30,MSNBC,0
2011-07-01,MSNBC,0
2011-07-02,MSNBC,0
2011-07-03,MSNBC,0
2011-07-04,MSNBC,0
2011-07-05,MSNBC,0
2011-07-06,MSNBC,0
2011-07-07,MSNBC,0
2011-07-08,MSNBC,0
2011-07-09,MSNBC,0
2011-07-10,MSNBC,0
2011-07-11,MSNBC,0
2011-07-12,MSNBC,0
2011-07-13,MSNBC,0
2011-07-14,MSNBC,0
2011-07-15,MSNBC,0
2011-07-16,MSNBC,0
2011-07-17,MSNBC,0
2011-07-18,MSNBC,0
2011-07-19,MSNBC,0
2011-07-20,MSNBC,0
2011-07-21,MSNBC,0
2011-07-22,MSNBC,0
2011-07-23,MSNBC,0
2011-07-24,MSNBC,0
2011-07-25,MSNBC,0
2011-07-26,MSNBC,0
2011-07-27,MSNBC,0
